335870	HDLBP	ADAR	Affinity Capture-Western	Wang Q (2005)	PUBMED:15723802	Q00341	P55265	Homo sapiens	Homo sapiens
570424	HDAC5	ADAR	Affinity Capture-MS	Greco TM (2011)	PUBMED:21081666	Q9UQL6	P55265	Homo sapiens	Homo sapiens
663348	ELAVL1	ADAR	Affinity Capture-RNA	Abdelmohsen K (2009)	PUBMED:19322201	Q15717	P55265	Homo sapiens	Homo sapiens
669375	HNRNPA1	ADAR	Affinity Capture-MS	Close P (2012)	PUBMED:22446626	P09651	P55265	Homo sapiens	Homo sapiens
686989	CUL3	ADAR	Affinity Capture-MS	Bennett EJ (2010)	PUBMED:21145461	Q13618	P55265	Homo sapiens	Homo sapiens
690646	CAND1	ADAR	Affinity Capture-MS	Bennett EJ (2010)	PUBMED:21145461	Q86VP6	P55265	Homo sapiens	Homo sapiens
824559	SNRPN	ADAR	Affinity Capture-Western	Agranat L (2008)	PUBMED:18362360	P63162	P55265	Homo sapiens	Homo sapiens
824560	SNRPB	ADAR	Affinity Capture-Western	Agranat L (2008)	PUBMED:18362360	P14678	P55265	Homo sapiens	Homo sapiens
824561	UPF1	ADAR	Affinity Capture-Western	Agranat L (2008)	PUBMED:18362360	Q92900	P55265	Homo sapiens	Homo sapiens
824562	ADAR	UPF1	Affinity Capture-Western	Agranat L (2008)	PUBMED:18362360	P55265	Q92900	Homo sapiens	Homo sapiens
837729	DHX9	ADAR	Affinity Capture-Western	Chu L (2012)	PUBMED:22751105	Q08211	P55265	Homo sapiens	Homo sapiens
872086	HDAC9	ADAR	Affinity Capture-MS	Joshi P (2013)	PUBMED:23752268	Q9UKV0	P55265	Homo sapiens	Homo sapiens
912705	FBXO6	ADAR	Affinity Capture-MS	Liu B (2012)	PUBMED:22268729	Q9NRD1	P55265	Homo sapiens	Homo sapiens
913173	TARDBP	ADAR	Affinity Capture-MS	Freibaum BD (2010)	PUBMED:20020773	Q13148	P55265	Homo sapiens	Homo sapiens
934433	RPA1	ADAR	Affinity Capture-MS	Marechal A (2014)	PUBMED:24332808	P27694	P55265	Homo sapiens	Homo sapiens
934450	RPA2	ADAR	Affinity Capture-MS	Marechal A (2014)	PUBMED:24332808	P15927	P55265	Homo sapiens	Homo sapiens
934467	RPA3	ADAR	Affinity Capture-MS	Marechal A (2014)	PUBMED:24332808	P35244	P55265	Homo sapiens	Homo sapiens
935558	ERG	ADAR	Affinity Capture-MS	Wang S (2014)	PUBMED:24591637	P11308	P55265	Homo sapiens	Homo sapiens
941976	STAU2	ADAR	Affinity Capture-MS	Li S (2014)	PUBMED:24778252	Q9NUL3	P55265	Homo sapiens	Homo sapiens
950360	STAU1	ADAR	Affinity Capture-MS	Milev MP (2012)	PUBMED:23125841	O95793	P55265	Homo sapiens	Homo sapiens
1057558	CUL7	ADAR	Affinity Capture-MS	Hanson D (2014)	PUBMED:24711643	Q14999	P55265	Homo sapiens	Homo sapiens
1058175	OBSL1	ADAR	Affinity Capture-MS	Hanson D (2014)	PUBMED:24711643	O75147	P55265	Homo sapiens	Homo sapiens
1062791	EZH2	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	Q15910	P55265	Homo sapiens	Homo sapiens
1062942	SUZ12	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	Q15022	P55265	Homo sapiens	Homo sapiens
1063501	EED	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	O75530	P55265	Homo sapiens	Homo sapiens
1063675	RNF2	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	Q99496	P55265	Homo sapiens	Homo sapiens
1064171	BMI1	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	P35226	P55265	Homo sapiens	Homo sapiens
1066118	EGFR	ADAR	Affinity Capture-MS	Tong J (2014)	PUBMED:24797263	P00533	P55265	Homo sapiens	Homo sapiens
1187963	USP38	ADAR	Affinity Capture-MS	Huttlin EL (2015)	PUBMED:26186194	Q8NB14	P55265	Homo sapiens	Homo sapiens
1256054	FBXW11	ADAR	Affinity Capture-MS	Low TY (2014)	PUBMED:25515538	Q9UKB1	P55265	Homo sapiens	Homo sapiens
1257797	NTRK1	ADAR	Affinity Capture-MS	Emdal KB (2015)	PUBMED:25921289	P04629	P55265	Homo sapiens	Homo sapiens
1277290	SCARNA22	ADAR	Affinity Capture-RNA	Chu L (2012)	PUBMED:22751105	-	P55265	Homo sapiens	Homo sapiens
1415413	IFI16	ADAR	Affinity Capture-MS	Diner BA (2015)	PUBMED:25693804	Q16666	P55265	Homo sapiens	Homo sapiens
1442981	HNRNPA1	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	P09651	P55265	Homo sapiens	Homo sapiens
1442982	MYC	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	P01106	P55265	Homo sapiens	Homo sapiens
1442983	XRCC3	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	O43542	P55265	Homo sapiens	Homo sapiens
1442984	MATR3	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	P43243	P55265	Homo sapiens	Homo sapiens
1442985	THOC1	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q96FV9	P55265	Homo sapiens	Homo sapiens
1442986	TACC3	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q9Y6A5	P55265	Homo sapiens	Homo sapiens
1442987	EXOSC4	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q9NPD3	P55265	Homo sapiens	Homo sapiens
1442988	THOC2	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q8NI27	P55265	Homo sapiens	Homo sapiens
1442989	THOC7	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q6I9Y2	P55265	Homo sapiens	Homo sapiens
1442990	MMGT1	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q8N4V1	P55265	Homo sapiens	Homo sapiens
1442991	ZFC3H1	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	O60293	P55265	Homo sapiens	Homo sapiens
1458469	Junb	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	P09450	P55265	Mus musculus	Homo sapiens
1458470	Rpl35	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q6ZWV7	P55265	Mus musculus	Homo sapiens
1458471	Rrbp1	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q99PL5	P55265	Mus musculus	Homo sapiens
1458472	Srsf1	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	Q6PDM2	P55265	Mus musculus	Homo sapiens
1458473	Sesn2	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	P58043	P55265	Mus musculus	Homo sapiens
1458474	Fus	ADAR	Affinity Capture-MS	Hein MY (2015)	PUBMED:26496610	P56959	P55265	Mus musculus	Homo sapiens
1506503	RBPJ	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	Q06330	P55265	Homo sapiens	Homo sapiens
1506685	FOXA2	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	Q9Y261	P55265	Homo sapiens	Homo sapiens
1506694	FOXA3	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	P55318	P55265	Homo sapiens	Homo sapiens
1506755	FOXB1	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	Q99853	P55265	Homo sapiens	Homo sapiens
1507443	FOXG1	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	P55316	P55265	Homo sapiens	Homo sapiens
1507489	FOXH1	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	O75593	P55265	Homo sapiens	Homo sapiens
1507548	FOXI2	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	Q6ZQN5	P55265	Homo sapiens	Homo sapiens
1508919	CRY2	ADAR	Affinity Capture-MS	Papp SJ (2015)	PUBMED:25756610	Q49AN0	P55265	Homo sapiens	Homo sapiens
1509110	FOXL1	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	Q12952	P55265	Homo sapiens	Homo sapiens
1510088	FOXP3	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	Q9BZS1	P55265	Homo sapiens	Homo sapiens
1510281	FOXS1	ADAR	Affinity Capture-MS	Li X (2015)	PUBMED:25609649	O43638	P55265	Homo sapiens	Homo sapiens
1516826	MEX3C	ADAR	Affinity Capture-MS	Cano F (2015)	PUBMED:26471122	Q5U5Q3	P55265	Homo sapiens	Homo sapiens
2252176	USP38	ADAR	Affinity Capture-MS	Huttlin EL (2017)	PUBMED:28514442	Q8NB14	P55265	Homo sapiens	Homo sapiens
2360987	COX15	ADAR	Affinity Capture-MS	Malty RH (2017)	PUBMED:29128334	Q7KZN9	P55265	Homo sapiens	Homo sapiens
2362007	PDHA1	ADAR	Affinity Capture-MS	Malty RH (2017)	PUBMED:29128334	P08559	P55265	Homo sapiens	Homo sapiens
2376531	FOXA1	ADAR	Affinity Capture-MS	Jozwik KM (2016)	PUBMED:27926873	P55317	P55265	Homo sapiens	Homo sapiens
2379946	G3BP1	ADAR	Affinity Capture-MS	Jain S (2016)	PUBMED:26777405	Q13283	P55265	Homo sapiens	Homo sapiens
2381596	UBE2A	ADAR	Affinity Capture-MS	An H (2017)	PUBMED:28031328	P49459	P55265	Homo sapiens	Homo sapiens
2464644	RMND5A	ADAR	Affinity Capture-MS	Lampert F (2018)	PUBMED:29911972	Q9H871	P55265	Homo sapiens	Homo sapiens
2492112	ADAR	BTRC	Affinity Capture-Western	Li L (2016)	PUBMED:27729454	P55265	Q9Y297	Homo sapiens	Homo sapiens
2492402	CHD3	ADAR	Affinity Capture-MS	Hoffmeister H (2017)	PUBMED:28977666	Q12873	P55265	Homo sapiens	Homo sapiens
2493057	CHD4	ADAR	Affinity Capture-MS	Hoffmeister H (2017)	PUBMED:28977666	Q14839	P55265	Homo sapiens	Homo sapiens
2515958	BPLF1	ADAR	Affinity Capture-MS	Gupta S (2018)	PUBMED:29357390	P03186	P55265	Human Herpesvirus 4	Homo sapiens
2518947	ESR2	ADAR	Affinity Capture-MS	Giurato G (2018)	PUBMED:29509190	Q92731	P55265	Homo sapiens	Homo sapiens
