Name	Length	EffectiveLength	TPM	NumReads
Ocbimv22000001m	1452	1241.9	0.538907	180.03
Ocbimv22000002m	309	121.395	0.214363	7
Ocbimv22000003m	3309	3098.9	0.686186	572
Ocbimv22000007m	1500	1289.9	11.4157	3961
Ocbimv22000008m	3468	3257.9	9.81214	8599
Ocbimv22000012m	285	102.563	113.777	3139
Ocbimv22000013m	240	70.4143	0.194722	3.68826
Ocbimv22000014m	129	20.3584	0	0
Ocbimv22000015m	171	32.6325	128.161	1125
Ocbimv22000021m	5586	5375.9	4.22862	6115
Ocbimv22000023m	2445	2234.9	0.133072	80
Ocbimv22000024m	783	573.534	0.0388906	6
Ocbimv22000025m	297	111.817	0.13436	4.04135
Ocbimv22000026m	276	95.7819	0	0
Ocbimv22000027m	300	114.181	0	0
Ocbimv22000028m	153	25.9481	59.8323	417.627
Ocbimv22000029m	210	51.9155	0	0
Ocbimv22000030m	201	46.9382	0	0
Ocbimv22000031m	561	353.565	0.235182	22.3676
Ocbimv22000033m	177	35.1375	9.52192	90
Ocbimv22000034m	543	335.969	0.0110651	1
Ocbimv22000035m	1161	950.897	0.181732	46.485
Ocbimv22000036m	750	540.65	0.00687602	1
Ocbimv22000038m	390	191.054	0	0
Ocbimv22000039m	258	82.7212	0	0
Ocbimv22000040m	528	321.364	20.4174	1765
Ocbimv22000041m	696	486.923	59.8943	7845
Ocbimv22000042m	393	193.762	106.54	5553
Ocbimv22000043m	474	269.309	19.8501	1438
Ocbimv22000044m	480	275.05	16.0703	1189
Ocbimv22000046m	267	89.1388	59.4294	1425
Ocbimv22000047m	348	153.983	200.6	8309
Ocbimv22000048m	2496	2285.9	5.37324	3304
Ocbimv22000052m	1908	1697.9	0.456137	208.331
Ocbimv22000054m	288	104.843	0	0
Ocbimv22000055m	2004	1793.9	0.182364	88
Ocbimv22000056m	603	394.846	0.331268	35.1848
Ocbimv22000057m	1068	857.897	2.86864	662
Ocbimv22000058m	216	55.3829	0.0671239	1
Ocbimv22000059m	525	318.446	0	0
Ocbimv22000060m	1707	1496.9	0.0173844	7
Ocbimv22000061m	231	64.5863	0.172677	3
