Name	Length	EffectiveLength	TPM	NumReads
Ocbimv22000001m	1452	1288.82	0.657772	170.016
Ocbimv22000002m	309	155.794	0	0
Ocbimv22000003m	3309	3145.82	0.69901	441
Ocbimv22000007m	1500	1336.82	15.8039	4237
Ocbimv22000008m	3468	3304.82	12.0915	8014
Ocbimv22000012m	285	134.636	163.771	4422
Ocbimv22000013m	240	97.1927	0	0
Ocbimv22000014m	129	25.3691	0	0
Ocbimv22000015m	171	47.8048	73.3269	703
Ocbimv22000021m	5586	5422.82	3.8895	4230
Ocbimv22000023m	2445	2281.82	0.0677422	31
Ocbimv22000024m	783	620.298	0.05627	7
Ocbimv22000025m	297	145.121	0.309694	9.01328
Ocbimv22000026m	276	126.887	0.0793619	2.01953
Ocbimv22000027m	300	147.767	0	0
Ocbimv22000028m	153	37.1654	476.993	3555.26
Ocbimv22000029m	210	74.2628	0	0
Ocbimv22000030m	201	67.8057	0	0
Ocbimv22000031m	561	399.043	0.439261	35.1531
Ocbimv22000033m	177	51.5622	6.86603	71
Ocbimv22000034m	543	381.164	0	0
Ocbimv22000035m	1161	997.821	0.104794	20.9706
Ocbimv22000036m	750	587.364	0	0
Ocbimv22000038m	390	231.204	0	0
Ocbimv22000039m	258	111.755	0	0
Ocbimv22000040m	528	366.302	21.3037	1565
Ocbimv22000041m	696	533.511	52.5444	5622
Ocbimv22000042m	393	234.082	115.113	5404
Ocbimv22000043m	474	312.967	14.3869	903
Ocbimv22000044m	480	318.87	12.7914	818
Ocbimv22000046m	267	119.259	54.2705	1298
Ocbimv22000047m	348	191.44	223.086	8565
Ocbimv22000048m	2496	2332.82	6.45512	3020
Ocbimv22000052m	1908	1744.82	1.59178	557
Ocbimv22000054m	288	137.244	0	0
Ocbimv22000055m	2004	1840.82	0.379224	140
Ocbimv22000056m	603	440.811	0.14689	12.9857
Ocbimv22000057m	1068	904.821	5.87454	1066
Ocbimv22000058m	216	78.6796	0	0
Ocbimv22000059m	525	363.329	0	0
Ocbimv22000060m	1707	1543.82	0.00322985	1
Ocbimv22000061m	231	90.0928	0.221385	4
Ocbimv22000062m	222	83.1678	0.299774	5
Ocbimv22000063m	2604	2440.82	15.1949	7438
Ocbimv22000064m	462	301.205	4.13042	249.504
Ocbimv22000065m	312	158.474	3.96593	126.045
Ocbimv22000066m	207	72.0865	0.138342	2
Ocbimv22000067m	423	263.061	0	0
Ocbimv22000068m	7179	7015.82	557.539	784468
Ocbimv22000069m	462	301.205	832.759	50304
Ocbimv22000070m	153	37.1654	2820.02	21019
Ocbimv22000071m	324	169.312	11.0404	374.883
Ocbimv22000072m	192	61.4959	3.87012	47.73
Ocbimv22000073m	951	788.043	0	0
Ocbimv22000074m	873	710.191	0	0
Ocbimv22000075m	234	92.448	5.12395	95
Ocbimv22000076m	309	155.794	0	0
Ocbimv22000077m	150	35.5242	5.05309	36
Ocbimv22000078m	216	78.6796	0.443624	7
Ocbimv22000079m	225	85.4553	0.197495	3.38467
Ocbimv22000080m	318	163.888	0.282817	9.29549
Ocbimv22000081m	1704	1540.82	3.05851	945.113
Ocbimv22000082m	264	116.75	131.416	3077
Ocbimv22000083m	696	533.511	13.0753	1399
Ocbimv22000084m	231	90.0928	40.4582	731
Ocbimv22000085m	288	137.244	0	0
Ocbimv22000086m	1104	940.821	3.14817	594
Ocbimv22000087m	984	820.976	0.655998	108.008
Ocbimv22000088m	984	820.976	1.06289	175
Ocbimv22000089m	294	142.477	37.202	1063
Ocbimv22000090m	534	372.245	7.83622	585
Ocbimv22000091m	177	51.5622	0.193409	2
Ocbimv22000092m	549	387.12	0.167447	13
Ocbimv22000093m	537	375.213	1.70103	128
Ocbimv22000094m	654	491.648	1.79514	177
Ocbimv22000095m	429	268.895	3.61602	195
Ocbimv22000096m	540	378.187	13.4748	1022
Ocbimv22000097m	852	689.219	0.636655	88
Ocbimv22000098m	603	440.811	0	0
Ocbimv22000099m	210	74.2628	0	0
Ocbimv22000100m	150	35.5242	0.982546	7
Ocbimv22000101m	414	254.323	18.9916	968.654
Ocbimv22000102m	798	635.275	0	0
Ocbimv22000103m	438	277.668	0	0
Ocbimv22000104m	1884	1720.82	11.2428	3880
Ocbimv22000105m	651	488.656	1.49534	146.543
Ocbimv22000106m	321	166.597	7.90227	264.022
Ocbimv22000107m	654	491.648	0.135904	13.4001
Ocbimv22000108m	759	596.349	21.3215	2550
Ocbimv22000109m	183	55.4653	80.0106	890
Ocbimv22000110m	231	90.0928	1.38366	25
Ocbimv22000111m	300	147.767	57.9729	1718
Ocbimv22000112m	252	106.854	4.55604	97.6338
Ocbimv22000113m	402	242.735	0	0
Ocbimv22000114m	339	183.068	6.60697	242.57
Ocbimv22000115m	489	327.745	0.34013	22.3564
Ocbimv22000116m	678	515.574	4.30783	445.42
Ocbimv22000117m	336	180.293	1.03686	37.4906
Ocbimv22000118m	234	92.448	173.783	3222
Ocbimv22000119m	2553	2389.82	77.3979	37095
Ocbimv22000121m	222	83.1678	0.359729	6
Ocbimv22000122m	264	116.75	0.0854183	2
Ocbimv22000123m	1728	1564.82	0.019119	6
Ocbimv22000124m	786	623.292	0	0
Ocbimv22000125m	150	35.5242	17.5455	125
Ocbimv22000126m	1338	1174.82	1.10352	260
Ocbimv22000127m	156	38.8528	18.1332	141.292
Ocbimv22000128m	183	55.4653	0	0
Ocbimv22000129m	297	145.121	14.1562	412
Ocbimv22000130m	207	72.0865	22.312	322.562
Ocbimv22000131m	219	80.9131	0	0
Ocbimv22000132m	189	59.4509	1.09034	13
Ocbimv22000133m	219	80.9131	0	0
Ocbimv22000134m	234	92.448	0.107873	2
Ocbimv22000135m	1074	910.821	0	0
Ocbimv22000136m	852	689.219	0.0654833	9.05126
Ocbimv22000137m	228	87.7572	78.5812	1383
Ocbimv22000138m	1008	844.821	0.814504	138
Ocbimv22000139m	1950	1786.82	3.2957	1181
Ocbimv22000140m	1638	1474.82	2.32948	689
Ocbimv22000141m	2490	2326.82	0.0671142	31.3183
Ocbimv22000142m	258	111.755	0	0
Ocbimv22000143m	930	767.074	64.8743	9980
Ocbimv22000144m	897	734.15	5.74599	846
Ocbimv22000145m	915	752.104	0.848615	128
Ocbimv22000146m	273	124.326	1.00267	25
Ocbimv22000147m	3102	2938.82	0	0
Ocbimv22000148m	198	65.6789	0	0
Ocbimv22000149m	291	139.856	0	0
Ocbimv22000150m	300	147.767	0	0
Ocbimv22000151m	282	132.043	0	0
Ocbimv22000153m	1038	874.821	10.4192	1828
Ocbimv22000154m	924	761.083	6.64332	1014
Ocbimv22000155m	150	35.5242	65.5498	467
Ocbimv22000156m	489	327.745	93.5048	6145.98
Ocbimv22000157m	192	61.4959	11.676	144
Ocbimv22000158m	198	65.6789	0	0
Ocbimv22000159m	93	16.9314	2.94501	10
Ocbimv22000160m	1554	1390.82	0.856852	239
Ocbimv22000161m	246	101.997	4.69313	96
Ocbimv22000162m	1113	949.821	10.6937	2037
Ocbimv22000164m	777	614.316	0.0811684	10
Ocbimv22000165m	90	16.7706	0.297324	1
Ocbimv22000166m	165	44.1512	0.225874	2
Ocbimv22000167m	219	80.9131	0	0
Ocbimv22000168m	471	310.019	0.112587	7
Ocbimv22000169m	147	33.9493	0	0
Ocbimv22000170m	1458	1294.82	0.00385096	1
Ocbimv22000171m	636	473.699	0	0
