Name	Length	EffectiveLength	TPM	NumReads
Ocbimv22000001m	1452	1283.68	0.914618	242.114
Ocbimv22000002m	309	152.172	0.0318669	1
Ocbimv22000003m	3309	3140.68	0.325788	211
Ocbimv22000007m	1500	1331.68	12.5776	3454
Ocbimv22000008m	3468	3299.68	14.5889	9927
Ocbimv22000012m	285	131.339	131.552	3563
Ocbimv22000013m	240	94.5936	0	0
Ocbimv22000014m	129	24.5757	0	0
Ocbimv22000015m	171	46.2193	38.1903	364
Ocbimv22000021m	5586	5417.68	1.95217	2181
Ocbimv22000023m	2445	2276.68	0.0745491	35
Ocbimv22000024m	783	615.147	0.00788309	1
Ocbimv22000025m	297	141.664	0.142273	4.15629
Ocbimv22000026m	276	123.745	0.0791868	2.02071
Ocbimv22000027m	300	144.268	0	0
Ocbimv22000028m	153	35.8891	563.031	4166.96
Ocbimv22000029m	210	72.0989	0	0
Ocbimv22000030m	201	65.7588	0	0
Ocbimv22000031m	561	393.86	0.30296	24.6066
Ocbimv22000033m	177	49.9256	4.37084	45
Ocbimv22000034m	543	376.022	0.0128962	1
Ocbimv22000035m	1161	992.676	0.0813649	16.6559
Ocbimv22000036m	750	582.187	0.00832939	1
Ocbimv22000038m	390	226.86	0.0213756	1
Ocbimv22000039m	258	108.9	0	0
Ocbimv22000040m	528	361.175	19.7233	1469
Ocbimv22000041m	696	528.308	80.8473	8808
Ocbimv22000042m	393	229.706	115.898	5490
Ocbimv22000043m	474	307.991	14.0444	892
Ocbimv22000044m	480	313.879	13.3329	863
Ocbimv22000046m	267	116.263	35.8285	859
Ocbimv22000047m	348	187.473	194.051	7502
Ocbimv22000048m	2496	2327.68	5.57701	2677
Ocbimv22000052m	1908	1739.68	2.67117	958.284
Ocbimv22000054m	288	133.909	0	0
Ocbimv22000055m	2004	1835.68	0.261526	99
Ocbimv22000056m	603	435.622	0.467547	42.001
Ocbimv22000057m	1068	899.676	18.6764	3465
Ocbimv22000058m	216	76.437	0.126882	2
Ocbimv22000059m	525	358.214	0	0
