Name	Length	EffectiveLength	TPM	NumReads
Ocbimv22000001m	1452	1252.33	0.71616	238.018
Ocbimv22000002m	309	131.037	0.345068	12
Ocbimv22000003m	3309	3109.33	0.707724	584
Ocbimv22000007m	1500	1300.33	12.5039	4315
Ocbimv22000008m	3468	3268.33	13.1996	11449
Ocbimv22000012m	285	111.676	142.083	4211
Ocbimv22000013m	240	77.9556	0.149134	3.08536
Ocbimv22000014m	129	20.5158	0	0
Ocbimv22000015m	171	35.8441	94.5058	899
Ocbimv22000021m	5586	5386.33	3.4908	4990
Ocbimv22000023m	2445	2245.33	0.0469889	28
Ocbimv22000024m	783	584.079	0.0322564	5
Ocbimv22000025m	297	121.241	0.37331	12.0116
Ocbimv22000026m	276	104.643	0.144575	4.01501
Ocbimv22000027m	300	123.677	0	0
Ocbimv22000028m	153	27.8072	47.786	352.648
Ocbimv22000029m	210	57.8888	0	0
Ocbimv22000030m	201	52.3489	0.0719796	1
Ocbimv22000031m	561	364.162	0.229296	22.1602
Ocbimv22000033m	177	38.8877	4.94168	51
Ocbimv22000034m	543	346.58	0	0
Ocbimv22000035m	1161	961.326	0.0613781	15.6591
Ocbimv22000036m	750	551.218	0	0
Ocbimv22000038m	390	201.5	0	0
Ocbimv22000039m	258	90.9822	0	0
Ocbimv22000040m	528	331.996	18.9653	1671
Ocbimv22000041m	696	497.514	52.1832	6890
Ocbimv22000042m	393	204.225	101.755	5515
Ocbimv22000043m	474	279.971	15.4775	1150
Ocbimv22000044m	480	285.702	13.2942	1008
Ocbimv22000046m	267	97.7429	49.6147	1287
Ocbimv22000047m	348	164.13	229.784	10009
Ocbimv22000048m	2496	2296.33	6.29615	3837
Ocbimv22000052m	1908	1708.33	1.78221	808
Ocbimv22000054m	288	114.067	0	0
Ocbimv22000055m	2004	1804.33	0.440641	211
Ocbimv22000056m	603	405.465	0.348721	37.5245
Ocbimv22000057m	1068	868.326	5.61958	1295
Ocbimv22000058m	216	61.714	0.122113	2
Ocbimv22000059m	525	329.081	0	0
Ocbimv22000060m	1707	1507.33	0.00749948	3
Ocbimv22000061m	231	71.7335	0.157585	3
Ocbimv22000062m	222	65.6677	0.229523	4
Ocbimv22000063m	2604	2404.33	10.8011	6892.01
Ocbimv22000064m	462	268.57	5.50529	392.393
Ocbimv22000065m	312	133.525	3.05922	108.406
Ocbimv22000066m	207	56.0233	0.538069	8
Ocbimv22000067m	423	231.856	0.0325034	2
Ocbimv22000068m	7179	6979.33	382.316	708139
Ocbimv22000069m	462	268.57	472.714	33693
Ocbimv22000070m	153	27.8072	2690.21	19853
Ocbimv22000071m	324	143.562	8.10049	308.627
Ocbimv22000072m	192	47.0358	9.20223	114.87
Ocbimv22000073m	951	751.605	0.0100384	2.00235
Ocbimv22000074m	873	673.819	0	0
Ocbimv22000075m	234	73.7893	7.20017	141
Ocbimv22000076m	309	131.037	0	0
Ocbimv22000077m	150	26.6472	4.94919	35
Ocbimv22000078m	216	61.714	1.09902	18
Ocbimv22000079m	225	67.6634	0	0
Ocbimv22000080m	318	138.529	0.372724	13.7028
Ocbimv22000081m	1704	1504.33	3.14604	1256
Ocbimv22000082m	264	95.4585	114.906	2911
Ocbimv22000083m	696	497.514	18.6284	2459.6
Ocbimv22000084m	231	71.7335	61.0381	1162
Ocbimv22000085m	288	114.067	0	0
Ocbimv22000086m	1104	904.326	2.22918	535
Ocbimv22000087m	984	784.538	1.07105	223
Ocbimv22000088m	984	784.538	1.25612	261.534
Ocbimv22000089m	294	118.839	33.7046	1063
Ocbimv22000090m	534	337.822	11.0313	989
Ocbimv22000091m	177	38.8877	0.872062	9
Ocbimv22000092m	549	352.43	0.160374	15
Ocbimv22000093m	537	340.735	1.83573	166
Ocbimv22000094m	654	455.876	2.4218	293
Ocbimv22000095m	429	237.447	4.34811	274
Ocbimv22000096m	540	343.656	11.1729	1019
Ocbimv22000097m	852	652.877	0.531734	92.1317
Ocbimv22000098m	603	405.465	0	0
Ocbimv22000099m	210	57.8888	0	0
Ocbimv22000100m	150	26.6472	0.141405	1
Ocbimv22000101m	414	223.499	45.7718	2714.92
Ocbimv22000102m	798	599.018	0	0
Ocbimv22000103m	438	245.897	0	0
Ocbimv22000104m	1884	1684.33	7.87022	3518
Ocbimv22000105m	651	452.908	1.39996	168.271
Ocbimv22000106m	321	141.052	5.55544	207.961
Ocbimv22000107m	654	455.876	0.05808	7.02678
Ocbimv22000108m	759	560.183	16.2579	2417
Ocbimv22000109m	183	42.042	83.9794	937
Ocbimv22000110m	231	71.7335	2.36378	45
Ocbimv22000111m	300	123.677	50.4837	1657
Ocbimv22000112m	252	86.5637	4.97625	114.32
Ocbimv22000113m	402	212.459	0	0
Ocbimv22000114m	339	156.372	4.29976	178.437
Ocbimv22000115m	489	294.329	0.567126	44.2991
Ocbimv22000116m	678	479.659	3.58599	456.483
Ocbimv22000117m	336	153.796	0.282088	11.5136
Ocbimv22000118m	234	73.7893	175.204	3431
Ocbimv22000119m	2553	2353.33	48.4687	30271
Ocbimv22000121m	222	65.6677	0.86071	15
Ocbimv22000122m	264	95.4585	0.394732	10
Ocbimv22000123m	1728	1528.33	0.0591715	24
Ocbimv22000124m	786	587.066	0	0
Ocbimv22000125m	150	26.6472	14.2819	101
Ocbimv22000126m	1338	1138.33	0.645483	195
Ocbimv22000127m	156	29.0258	14.06	108.306
Ocbimv22000128m	183	42.042	0.0896259	1
Ocbimv22000129m	297	121.241	13.3329	429
Ocbimv22000130m	207	56.0233	28.5595	424.622
Ocbimv22000131m	219	63.6947	0	0
Ocbimv22000132m	189	45.3395	1.49593	18
Ocbimv22000133m	219	63.6947	0	0
