Name	Length	EffectiveLength	TPM	NumReads
Ocbimv22000001m	1452	1257	0.573922	180.124
Ocbimv22000002m	309	134.33	0.26834	9
Ocbimv22000003m	3309	3114	1.15884	901
Ocbimv22000007m	1500	1305	11.6041	3781
Ocbimv22000008m	3468	3273	9.29514	7596
Ocbimv22000012m	285	114.726	95.6196	2739
Ocbimv22000013m	240	80.6553	0	0
Ocbimv22000014m	129	20.92	0	0
Ocbimv22000015m	171	37.5779	117.88	1106
Ocbimv22000021m	5586	5391	5.68787	7656
Ocbimv22000023m	2445	2250	0.110364	62
Ocbimv22000024m	783	588.619	0	0
Ocbimv22000025m	297	124.414	0.341119	10.5964
Ocbimv22000026m	276	107.61	0.229475	6.16556
Ocbimv22000027m	300	126.88	0	0
Ocbimv22000028m	153	29.0786	33.9761	246.678
Ocbimv22000029m	210	60.2631	0	0
Ocbimv22000030m	201	54.5979	0	0
Ocbimv22000031m	561	368.466	0.429389	39.5031
Ocbimv22000033m	177	40.6765	6.4001	65
Ocbimv22000034m	543	350.853	0.0342463	3
Ocbimv22000035m	1161	966	0.287827	69.4212
Ocbimv22000036m	750	555.727	0.014414	2
Ocbimv22000038m	390	205.306	0	0
Ocbimv22000039m	258	93.8433	0	0
Ocbimv22000040m	528	336.233	20.0832	1686
Ocbimv22000041m	696	501.971	68.3545	8567
Ocbimv22000042m	393	208.042	87.9412	4568
Ocbimv22000043m	474	284.065	18.597	1319
Ocbimv22000044m	480	289.823	14.9662	1083
Ocbimv22000046m	267	100.685	42.4044	1066
Ocbimv22000047m	348	167.73	237.375	9941
Ocbimv22000048m	2496	2301	7.15215	4109
Ocbimv22000052m	1908	1713	1.2219	522.61
Ocbimv22000054m	288	117.133	0.0683863	2
Ocbimv22000055m	2004	1809	0.418447	189
Ocbimv22000056m	603	409.829	0.860818	88.084
Ocbimv22000057m	1068	873	6.83579	1490
Ocbimv22000058m	216	64.1487	0.0624352	1
Ocbimv22000059m	525	333.315	0.0120161	1
Ocbimv22000060m	1707	1512	0.0370846	14
Ocbimv22000061m	231	74.2896	0.323475	6
Ocbimv22000062m	222	68.118	0.529173	9
Ocbimv22000063m	2604	2409	6.73009	4048.01
Ocbimv22000064m	462	272.604	8.18686	557.227
Ocbimv22000065m	312	136.819	7.24369	247.452
Ocbimv22000066m	207	58.3569	0.416917	6.0747
Ocbimv22000067m	423	235.801	0.101911	6
Ocbimv22000068m	7179	6984	205.565	358457
Ocbimv22000069m	462	272.604	333.38	22691
Ocbimv22000070m	153	29.0786	1793.99	13025
Ocbimv22000071m	324	147.002	47.3667	1738.52
Ocbimv22000072m	192	49.143	8.64984	106.134
Ocbimv22000073m	951	756.235	0	0
Ocbimv22000074m	873	678.398	0.0121439	2.05696
Ocbimv22000075m	234	76.3979	8.02097	153
Ocbimv22000076m	309	134.33	0	0
Ocbimv22000077m	150	27.8073	9.07398	63
Ocbimv22000078m	216	64.1487	0.437046	7
Ocbimv22000079m	225	70.1408	0.0601265	1.05298
Ocbimv22000080m	318	141.877	0.245221	8.68664
Ocbimv22000081m	1704	1509	5.53941	2087.06
Ocbimv22000082m	264	98.3868	69.9364	1718
Ocbimv22000083m	696	501.971	20.5375	2574
Ocbimv22000084m	231	74.2896	67.6601	1255
Ocbimv22000085m	288	117.133	0.0341931	1
Ocbimv22000086m	1104	909	2.77143	629
Ocbimv22000087m	984	789.19	0.964249	190
Ocbimv22000088m	984	789.19	1.34995	266
Ocbimv22000089m	294	121.969	20.983	639
Ocbimv22000090m	534	342.076	18.3107	1563.9
Ocbimv22000091m	177	40.6765	0.196926	2
Ocbimv22000092m	549	356.719	0.516474	46
Ocbimv22000093m	537	344.996	1.46276	126
Ocbimv22000094m	654	460.301	1.72282	198
Ocbimv22000095m	429	241.428	4.01462	242
Ocbimv22000096m	540	347.92	12.6858	1102
Ocbimv22000097m	852	657.449	0.446074	73.2237
Ocbimv22000098m	603	409.829	0	0
Ocbimv22000099m	210	60.2631	0.0664607	1
Ocbimv22000100m	150	27.8073	1.87241	13
Ocbimv22000101m	414	227.403	28.1108	1596.07
Ocbimv22000102m	798	603.571	0	0
Ocbimv22000103m	438	249.868	0	0
Ocbimv22000104m	1884	1689	8.09326	3413
Ocbimv22000105m	651	457.325	1.39997	159.855
Ocbimv22000106m	321	144.443	4.38487	158.138
Ocbimv22000107m	654	460.301	0.20416	23.4636
Ocbimv22000108m	759	564.697	23.3912	3298
Ocbimv22000109m	183	43.9506	115.55	1268
Ocbimv22000110m	231	74.2896	4.47473	83
Ocbimv22000111m	300	126.88	44.6978	1416
Ocbimv22000112m	252	89.408	9.94836	222.081
Ocbimv22000113m	402	216.278	0	0
Ocbimv22000114m	339	159.903	4.21545	168.3
Ocbimv22000115m	489	298.485	0.42835	31.923
Ocbimv22000116m	678	484.107	3.36012	406.143
Ocbimv22000117m	336	157.321	0.718438	28.2202
Ocbimv22000118m	234	76.3979	130.852	2496
Ocbimv22000119m	2553	2358	43.6777	25715
Ocbimv22000121m	222	68.118	1.17594	20
Ocbimv22000122m	264	98.3868	0.20354	5
Ocbimv22000123m	1728	1533	0.24036	92
Ocbimv22000124m	786	591.61	0	0
Ocbimv22000125m	150	27.8073	15.9875	111
Ocbimv22000126m	1338	1143	1.00917	288
Ocbimv22000127m	156	30.3955	18.5777	140.989
Ocbimv22000128m	183	43.9506	0.546768	6
Ocbimv22000129m	297	124.414	16.3857	509
Ocbimv22000130m	207	58.3569	39.8921	581.248
Ocbimv22000131m	219	66.1348	0	0
Ocbimv22000132m	189	47.3712	1.60641	19
Ocbimv22000133m	219	66.1348	0.0607893	1.00378
Ocbimv22000134m	234	76.3979	0.104849	2
Ocbimv22000135m	1074	879	0.00918283	2.01534
Ocbimv22000136m	852	657.449	0.112051	18.3934
Ocbimv22000137m	228	72.2066	100.507	1812
Ocbimv22000138m	1008	813	0.546826	111
Ocbimv22000139m	1950	1755	4.78105	2095
Ocbimv22000140m	1638	1443	3.79974	1369
Ocbimv22000141m	2490	2295	0.0662822	37.9807
Ocbimv22000142m	258	93.8433	0.384111	9
Ocbimv22000143m	930	735.271	62.5442	11482
Ocbimv22000144m	897	702.345	5.49722	964
Ocbimv22000145m	915	720.314	2.70229	486
Ocbimv22000146m	273	105.275	6.65776	175
Ocbimv22000147m	3102	2907	0.00137775	1
Ocbimv22000148m	198	52.7511	0	0
Ocbimv22000149m	291	119.549	0.100506	3
Ocbimv22000150m	300	126.88	0	0
Ocbimv22000151m	282	112.339	0	0
Ocbimv22000153m	1038	843	17.5029	3684
Ocbimv22000154m	924	729.281	10.8684	1979
Ocbimv22000155m	150	27.8073	59.7731	415
Ocbimv22000156m	489	298.485	48.6157	3623.11
Ocbimv22000157m	192	49.143	7.98696	98
Ocbimv22000158m	198	52.7511	0.107191	1.4118
Ocbimv22000159m	93	18.5006	2.59784	12
Ocbimv22000160m	1554	1359	1.28789	437
Ocbimv22000161m	246	84.9802	6.83388	145
Ocbimv22000162m	1113	918	19.7028	4516
Ocbimv22000164m	777	582.639	0.0206224	3
Ocbimv22000165m	90	18.4398	0	0
