Name	Length	EffectiveLength	TPM	NumReads
Ocbimv22000001m	1452	1289.27	0.657722	179.046
Ocbimv22000002m	309	155.685	0	0
Ocbimv22000003m	3309	3146.27	0.891141	592
Ocbimv22000007m	1500	1337.27	8.98864	2538
Ocbimv22000008m	3468	3305.27	9.64624	6732
Ocbimv22000012m	285	134.451	88.2397	2505
Ocbimv22000013m	240	96.818	0	0
Ocbimv22000014m	129	25.0102	0	0
Ocbimv22000015m	171	47.3132	22.7229	227
Ocbimv22000021m	5586	5423.27	1.15362	1321
Ocbimv22000023m	2445	2282.27	0.0788565	38
Ocbimv22000024m	783	620.641	0.00763097	1
Ocbimv22000025m	297	144.984	0.222458	6.81002
Ocbimv22000026m	276	126.646	0	0
Ocbimv22000027m	300	147.643	0	0
Ocbimv22000028m	153	36.6802	457.369	3542.24
Ocbimv22000029m	210	73.8848	0	0
Ocbimv22000030m	201	67.3676	0	0
Ocbimv22000031m	561	399.184	0.131324	11.0687
Ocbimv22000033m	177	51.1168	2.40896	26
Ocbimv22000034m	543	381.279	0	0
Ocbimv22000035m	1161	998.266	0.125015	26.3504
Ocbimv22000036m	750	587.658	0	0
Ocbimv22000038m	390	231.229	0	0
Ocbimv22000039m	258	111.478	0	0
Ocbimv22000040m	528	366.386	31.67	2450
Ocbimv22000041m	696	533.761	85.2701	9610
Ocbimv22000042m	393	234.105	108.355	5356
Ocbimv22000043m	474	313.013	15.7661	1042
Ocbimv22000044m	480	318.919	14.9841	1009
Ocbimv22000046m	267	118.998	30.0091	754
Ocbimv22000047m	348	191.474	237.332	9595
Ocbimv22000048m	2496	2333.27	5.31608	2619
Ocbimv22000052m	1908	1745.27	1.7069	629
Ocbimv22000054m	288	137.074	0.0345513	1
Ocbimv22000055m	2004	1841.27	0.246931	96
Ocbimv22000056m	603	441.002	0.361819	33.6908
Ocbimv22000057m	1068	905.266	47.5563	9090
Ocbimv22000058m	216	78.3122	0.120954	2
Ocbimv22000059m	525	363.409	0	0
Ocbimv22000060m	1707	1544.27	0.0214682	7
Ocbimv22000061m	231	89.7082	0.263972	5
Ocbimv22000062m	222	82.8093	0.457542	8
Ocbimv22000063m	2604	2441.27	9.25775	4772
Ocbimv22000064m	462	301.202	4.70146	298.999
Ocbimv22000065m	312	158.383	8.82441	295.104
Ocbimv22000066m	207	71.6909	0.198188	3
Ocbimv22000067m	423	263.089	0	0
Ocbimv22000068m	7179	7016.27	98.4268	145814
Ocbimv22000069m	462	301.202	201.22	12797
Ocbimv22000070m	153	36.6802	948.763	7348
Ocbimv22000071m	324	169.285	6.60227	235.989
Ocbimv22000072m	192	61.1001	13.449	173.505
Ocbimv22000073m	951	788.466	0	0
Ocbimv22000074m	873	710.558	0.0075216	1.12847
Ocbimv22000075m	234	92.063	29.9919	583
Ocbimv22000076m	309	155.685	0	0
Ocbimv22000077m	150	35.0377	21.3571	158
Ocbimv22000078m	216	78.3122	2.35861	39
Ocbimv22000079m	225	85.0794	0	0
Ocbimv22000080m	318	163.832	0.0877044	3.03388
Ocbimv22000081m	1704	1541.27	6.00437	1954
Ocbimv22000082m	264	116.482	57.1265	1405
Ocbimv22000083m	696	533.761	36.0424	4062
Ocbimv22000084m	231	89.7082	104.375	1977
Ocbimv22000085m	288	137.074	0.0345513	1
Ocbimv22000086m	1104	941.266	0.940913	187
Ocbimv22000087m	984	821.421	0.864999	150.024
Ocbimv22000088m	984	821.421	1.68359	292
Ocbimv22000089m	294	142.344	7.31986	220
Ocbimv22000090m	534	372.348	7.26286	571
Ocbimv22000091m	177	51.1168	0	0
Ocbimv22000092m	549	387.24	0	0
Ocbimv22000093m	537	375.323	1.02211	81
Ocbimv22000094m	654	491.864	0.905114	94
Ocbimv22000095m	429	268.919	3.25814	185
Ocbimv22000096m	540	378.3	7.43653	594
Ocbimv22000097m	852	689.583	0.537039	78.1938
Ocbimv22000098m	603	441.002	0	0
Ocbimv22000099m	210	73.8848	0	0
Ocbimv22000100m	150	35.0377	3.37928	25
Ocbimv22000101m	414	254.342	109.189	5863.79
Ocbimv22000102m	798	635.631	0	0
Ocbimv22000103m	438	277.694	0	0
Ocbimv22000104m	1884	1721.27	9.5285	3463
Ocbimv22000105m	651	488.871	1.94925	201.206
Ocbimv22000106m	321	166.561	0.0780814	2.746
Ocbimv22000107m	654	491.864	0.0439538	4.56479
Ocbimv22000108m	759	596.654	13.1608	1658
Ocbimv22000109m	183	55.0472	71.4107	830
Ocbimv22000110m	231	89.7082	3.95958	75
Ocbimv22000111m	300	147.643	20.6904	645
Ocbimv22000112m	252	106.525	4.21566	94.8194
Ocbimv22000113m	402	242.759	0	0
Ocbimv22000114m	339	183.092	9.06764	350.544
Ocbimv22000115m	489	327.802	0.229483	15.8833
Ocbimv22000116m	678	515.798	0.881685	96.0225
Ocbimv22000117m	336	180.319	0.538879	20.517
Ocbimv22000118m	234	92.063	116.315	2261
